words
"Trees,Moist,Frogs,South America,Large"
"tigers,cocoa beans,big leaves,parrots,jumanji"
"Trees,Animals,Climate,Rain,Green"
"Birds,Trees,Air,Storm,Jungle"
"biodiversity,humid,green,large trees,equatorial"
"diversity,ecology,plants,animals,abundance"
"The Amazon,Flora,Fauna,Ecosystem,Habitat"
"Birds,Ecosystem,Environment,Diversity,Animaks"
"Tree frogs,Mushrooms,Biodiversity,Salamanders,Carnivorous plants"
"humid ,biodiverse,thick-vegetation. ,green ,dense"
"Beautiful,Trees,Diverse,Ecosystem,Wet"
"rain,plants,animals,the amazon,deforestation"
"trees,mango,toucan,army ants,sun"
"Tucan,River,Thunderstorm,Wet/Dense,Abundant in life"
"Trees,Diverse,Wildlife,Endangered,Ecosystem"
"Plants,Animals,Rain,Deforestation,Dying"
"toucan,monkey,trees,green,vibrant"
"trees,wildlife,water,rain,toucans"
"global warming,wild life,humid,ecosystem,trees"
"animals ,rain,trees,humidity ,sun"
"Birds ,Rain,Trees ,A lot of greenery ,Leaves"
"Storms,Green,Nature,Animals ,Plants"
"waterfalls,bright,animals,parrots,green"
"Water,Flowers,Birds,Peace,Trees"
"Plants,Birds,Monkeys,Fern,Rain"
"water,animals,green,biodiversity,the jungle"
"Toucan,Green,Big Trees,Canopy ,Habitat"
"Toucan,Water,Leaves,Green,Color"
"green,lush,water,plants,diversity"
"endangered,beautiful,wildlife,nature,habitat"
"Amazon,Snakes,Wildlife,Trees,wet"
"Jungle,Biodiversity,Deforestation,Lush,Amazon"
"Birds,Rain ,Trees,Plants ,Humid"
"Toucan,Biodiversity,Tree frogs,Big trees,South America"
"Rain,Trees,Green,Colorful,Parrots"
"Trees,Peaceful,Diverse ,Jumanji ,Water"
"moisture,dense,vast,green,jungle"
"Green,Jaguar,Storms,Snakes,Life"
"Leaves ,Green,Indigenous,Climate,Birds"
"deforestation,toucan,Amazon,percipitation,humidity"
"toucan,lush greens,exotic species,rain,many things unknown"
"Trees,Wildlife,Rivers,Jungle,Water"
"Green ,Humid and wet,Threatened by industry,Vital for global environmental health,Biodiversity"
"Toucan,Biodiversity,Dark green leaves glistening from the rainfall,Conservation,Unique insects\, lizards\, other small animals"
"Plants,Animals,Rain,Medicine ,Humidity"
"Tall trees,Green leaves,Wet ground,Warm climate,Animals of all shapes and sizes"
"rain,trees,diversity,beautiful,in danger"
"Diverse,Life,Biodiversity,Beautiful,Humid"
"Diversity,Green,Dense,Misty,Rainy"
"wet,green,animals,trees,sunlight"
"Cats/big animals,Species variety,Beautiful,Dangerous,Threatened by humans"
"serene,rain,humid,birds,trees"
"Lucious trees,Fog,Humidity,Wildlife,Waterfalls"
"Green,Wet,Diversity,Uniqueness ,Life"
"plants,animals/insects,rain,hot,Amazon"
"Rain,Beautiful,Dying,Hot,Animals"
"Green,Biodiversity,Bugs,Humid,Trees"
"humid,critical,diverse,layers- forest floor\, understory\, canopy,equator"
"Trees,Nature,Animals,Moisture,Peace"
"toucan,rain,vibrant,south america,palm trees"
"Vibrant colors,Trees,Birds,Undiscovered species,Waterfalls"
"green,lush,jungle,amazon,dense"
"Wildlife,Green,Toucan,Exotic,Plentiful"
"wet,animals,rain,humid,equator"
"green,diverse,humid,large,tropics"
"Amazon,Brasil,conservation ,deforestation,trees"
"Lush,Rainy ,Biodiverse,Productive ,Threatened"
"Toucan ,Biodiversity ,Fauna ,Nutrient poor soil,Humid"
"Diversity,Colorful,Loud,Nature,Earth"
"Amazon,Vines ,Diversity,Humid,Monkey"
"humid ,hot ,biodiversity ,trees ,birds"
"Palm trees,Green,Wildlife,Wet,Rain"
