"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PER",2001,86013.86649075321702281,52631586.66656334553560134
"PER",2002,80452.08581872382281660,48985079.5868334019237615
"PER",2003,73869.24330270493807209,45466123.9102787173134635
"PER",2004,101320.46880731515669433,62543162.7707883736550047
"PER",2005,163023.13774440854404450,99858322.480627640272562
"PER",2006,88915.88443692428548341,56209129.2716389209432945
"PER",2007,115742.77874036548342523,72146079.741290363113661
"PER",2008,126614.39186230286572896,82495876.0253197500054306
"PER",2009,177914.32602027177369227,111897302.324892690980146
"PER",2010,142324.14224610095444934,91656143.563383158043800
"PER",2011,125265.09054642830525996,80429478.485059810396718
"PER",2012,275458.13389348274100219,172962971.4354822488788775
"PER",2013,209306.87164921334043355,134474288.998425157859618
"PER",2014,205452.28665800459192502,129494655.446672847964438
"PER",2015,166499.94089565372073355,104273496.833126891746150
"PER",2016,230961.62885485764765402,144631009.353910741572680
"PER",2017,303280.51969752578357784,185144652.909872726186141
"PER",2018,211726.02889161838331625,134493920.800148615508141
"PER",2019,231257.38131942305167315,149453750.190018181505620
"PER",2020,278656.68030099773457314,179179336.642926787721760
"PER",2021,225203.94411172386595615,147246082.322124617837981
"PER",2022,236121.87208292490694201,154677747.043144893165377
