"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"RWA",2001,1516.76632078318553153,606513.607061892724772
"RWA",2002,941.33871804155342266,322143.324255377827437
"RWA",2003,1060.92756756182639860,432363.579457284123330
"RWA",2004,1121.68713196352489269,453989.612142555639504
"RWA",2005,821.92294211357636527,357126.506905194628973
"RWA",2006,745.53289974647506822,326442.840722067389563
"RWA",2007,1429.97672468487325478,630049.277305075093484
"RWA",2008,1100.63059530876085146,549390.813553130559488
"RWA",2009,1381.96545714518691374,715429.511568623830556
"RWA",2010,2449.76849725162688153,1201298.024491506457325
"RWA",2011,925.93457248248674747,524235.597749606156445
"RWA",2012,1090.45174180789585277,592094.922461517737403
"RWA",2013,2472.62487482070186106,1402005.232325326047220
"RWA",2014,2889.35867640207313962,1847436.997244928410941
"RWA",2015,2216.72122753967282635,1571361.435746317745146
"RWA",2016,2777.67191752664431042,1997884.921444956556658
"RWA",2017,2728.81830608393430362,1954225.327317970085854
"RWA",2018,4290.99846704088062931,3328262.83292216679168
"RWA",2019,2515.98611218969653520,2065009.583933567708848
"RWA",2020,3187.31710086753728611,2520487.676313785439341
"RWA",2021,2922.13162732448864163,2638410.048893483545925
"RWA",2022,2536.45057944060995058,2345215.159259256023239
