"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",2001,744087.98910984714156232,462950810.35289395056818078
"IDN",2002,855275.86303372993523393,587017101.7601844059626699
"IDN",2003,544810.29664145593464802,358433056.1062103198473862
"IDN",2004,1289042.65705546593867196,938116184.8835485835635042
"IDN",2005,1182441.78450057340174584,898711566.3327183366295837
"IDN",2006,1433150.23419093016266879,995972542.641209058456339
"IDN",2007,1387625.29248692977266083,1025082506.408088749410362
"IDN",2008,1396251.28979239478848987,989091258.953973148307577
"IDN",2009,1944963.17245194106203703,1349500310.675217601764184
"IDN",2010,1279331.97455082473274024,986658163.740839683712866
"IDN",2011,1543628.92250057124374797,1172369866.3981489143183195
"IDN",2012,2260260.50460391122431382,1690494040.118111375892635
"IDN",2013,1139298.66876672740926851,829981767.484440310471065
"IDN",2014,1894360.72722876699654934,1308982094.156253789972874
"IDN",2015,1746470.53460299726182666,1167358231.323126975308943
"IDN",2016,2422071.53667220258590854,1493774593.971325635060125
"IDN",2017,1300719.37590373523022265,793309719.962090701404381
"IDN",2018,1218732.51605522502823145,733757609.277589807129846
"IDN",2019,1176884.14370229447997902,714217530.281756458451387
"IDN",2020,961587.94314016527043050,570996419.020815295431208
"IDN",2021,841391.39098463854887033,489268151.062986307740575
