"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,2746361.55670610284740639,1182558365.30939161159906626
"BRA",2002,3507049.44035898009544948,1616647815.9233593809175432
"BRA",2003,3248526.73442800878321668,1483181868.3225644971833122
"BRA",2004,3848770.78970869829010206,1890358742.8653543771421145
"BRA",2005,3486562.70549620978317882,1821021696.044611246848940
"BRA",2006,2876804.74696718566755552,1463579652.775162148465262
"BRA",2007,2621820.17792644038340455,1281855515.466468077008088
"BRA",2008,2444308.03831688740885831,1244706808.842055391506294
"BRA",2009,1817901.23275872116609025,940965886.230946380549913
"BRA",2010,2688896.17626596828301886,1386980184.945072245740462
"BRA",2011,1923363.69454661673858867,1030131170.198785269731152
"BRA",2012,2918633.14102396420102301,1508323095.757657940741940
"BRA",2013,1945506.25269363408317494,1017187612.984888157690593
"BRA",2014,2693134.29548953162182184,1468039821.962580425991334
"BRA",2015,2222772.41753093193469474,1312104719.009757695678310
"BRA",2016,5378844.03454081744136779,3203364018.687852855103545
"BRA",2017,4519833.17143371429346940,2622777845.797953597190584
"BRA",2018,2948462.08026938171246390,1783794931.657967748708924
"BRA",2019,2696748.79925482718037679,1612075541.485671538036731
"BRA",2020,3291391.78652611685188290,1897473673.684865609578920
"BRA",2021,2991909.30595055976432335,1880308897.727493948088105
