index,word,word2
1,a lot of greenery,greenery
2,abundance,abundance
3,abundant in life,abundance
4,air,air
5,amazon,amazon
6,amazon,amazon
7,amazon,amazon
8,amazon,amazon
9,amazon,amazon
10,amazon,amazon
11,amazon,amazon
12,animals,animals
13,animals,animals
14,animals,animals
15,animals,animals
16,animals,animals
17,animals,animals
18,animals,animals
19,animals,animals
20,animals,animals
21,animals,animals
22,animals,animals
23,animals,animals
24,animals,animals
25,animals,animals
26,animals of all shapes and sizes,animals
27,animals/insects,insects
27,animals/insects,animals
28,army ants,army ants
29,beautiful,beautiful
30,beautiful,beautiful
31,beautiful,beautiful
32,beautiful,beautiful
33,beautiful,beautiful
34,beautiful,beautiful
35,big leaves,big leaves
36,big trees,big/tall trees
37,big trees,big/tall trees
38,bio(diversity),bio(diversity)
39,bio(diversity),bio(diversity)
40,bio(diversity),bio(diversity)
41,bio(diversity),bio(diversity)
42,bio(diversity),bio(diversity)
43,bio(diversity),bio(diversity)
44,bio(diversity),bio(diversity)
45,bio(diversity),bio(diversity)
46,bio(diversity),bio(diversity)
47,bio(diversity),bio(diversity)
48,bio(diversity),bio(diversity)
49,bio(diversity),bio(diversity)
50,bio(diversity),bio(diversity)
51,birds,birds
52,birds,birds
53,birds,birds
54,birds,birds
55,birds,birds
56,birds,birds
57,birds,birds
58,birds,birds
59,birds,birds
60,birds,birds
61,brasil,brasil
62,bright,bright
63,bugs,bugs
64,canopy,canopy
65,canopy,canopy
66,carnivorous plants,carnivorous plants
67,cats/big animals,cats/big animals
67,cats/big animals,big animals
68,climate,climate
69,climate,climate
70,cocoa beans,cocoa beans
71,colorful,colorful
72,colorful,colorful
73,colorful,colorful
74,conservation,conservation
75,conservation,conservation
76,critical,critical
77,dangerous,dangerous
78,dark green leaves glistening from the rainfall,green
78,dark green leaves glistening from the rainfall,leaves
78,dark green leaves glistening from the rainfall,rainfall
79,deforestation,deforestation
80,deforestation,deforestation
81,deforestation,deforestation
82,deforestation,deforestation
83,deforestation,deforestation
84,dense,dense
85,dense,dense
86,dense,dense
87,dense,dense
88,bio(diversity),bio(diversity)
89,bio(diversity),bio(diversity)
90,bio(diversity),bio(diversity)
91,bio(diversity),bio(diversity)
92,bio(diversity),bio(diversity)
93,bio(diversity),bio(diversity)
94,bio(diversity),bio(diversity)
95,bio(diversity),bio(diversity)
96,bio(diversity),bio(diversity)
97,bio(diversity),bio(diversity)
98,bio(diversity),bio(diversity)
99,bio(diversity),bio(diversity)
100,bio(diversity),bio(diversity)
101,bio(diversity),bio(diversity)
102,dying,dying
103,dying,dying
104,earth,earth
105,ecology,ecology
106,ecosystem,ecosystem
107,ecosystem,ecosystem
108,ecosystem,ecosystem
109,ecosystem,ecosystem
110,ecosystem,ecosystem
111,endangered,endangered
112,endangered,endangered
113,environment,environment
114,equator,equator
115,equator,equator
116,equator,equator
117,exotic,exotic
118,exotic species,exotic species
119,fauna,fauna
120,fauna,fauna
121,fern,fern
122,flora,flora
123,flowers,flowers
124,fog,fog
125,frogs,frogs
126,global warming,global warming
127,green,green
128,green,green
129,green,green
130,green,green
131,green,green
132,green,green
133,green,green
134,green,green
135,green,green
136,green,green
137,green,green
138,green,green
139,green,green
140,green,green
141,green,green
142,green,green
143,green,green
144,green,green
145,green,green
146,green,green
147,green,green
148,green,green
149,green,green
150,green leaves,green leaves
151,habitat,habitat
152,habitat,habitat
153,habitat,habitat
154,hot,hot
155,hot,hot
156,hot,hot
157,humid,humid
158,humid,humid
159,humid,humid
160,humid,humid
161,humid,humid
162,humid,humid
163,humid,humid
164,humid,humid
165,humid,humid
166,humid,humid
167,humid,humid
168,humid,humid
169,humid,humid
170,humid and wet,wet
170,humid and wet,humid
171,humid,humid
172,humid,humid
173,humid,humid
174,humid,humid
175,endangered,endangered
176,indigenous,indigenous
177,jaguar,jaguar
178,jumanji,jumanji
179,jumanji,jumanji
180,jungle,jungle
181,jungle,jungle
182,jungle,jungle
183,jungle,jungle
184,jungle,jungle
185,large,large
186,large,large
187,large trees,large trees
188,layers- forest floor,layers- forest floor
189,leaves,leaves
190,leaves,leaves
191,leaves,leaves
192,life,life
193,life,life
194,life,life
195,lizards,lizards
196,loud,loud
197,lucious trees,lucious trees
198,lush,lush
199,lush,lush
200,lush,lush
